Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"G***","LOGO","Logo_6.5mm",118.400000,-126.000000,180.000000,bottom
"C1","100nF","C_0402_1005Metric",123.500000,-128.700000,270.000000,top
"C1","100nF","C_0402_1005Metric",123.500000,-110.700000,270.000000,top
"C2","2.2µF","C_0603_1608Metric",122.300000,-110.250000,270.000000,top
"C2","2.2µF","C_0603_1608Metric",122.300000,-128.250000,270.000000,top
"C3","4.7µF","C_0603_1608Metric",127.200000,-131.600000,90.000000,top
"C3","4.7µF","C_0603_1608Metric",127.200000,-113.600000,90.000000,top
"C4","2.2µF","C_0603_1608Metric",120.300000,-131.600000,270.000000,top
"C4","2.2µF","C_0603_1608Metric",120.300000,-113.600000,270.000000,top
"C5","2.2µF","C_0603_1608Metric",125.700000,-131.600000,270.000000,top
"C5","2.2µF","C_0603_1608Metric",125.700000,-113.600000,270.000000,top
"D1","TX-LED","LED_0603_1608Metric",114.100000,-132.300000,0.000000,top
"D1","TX-LED","LED_0603_1608Metric",114.100000,-114.300000,0.000000,top
"D2","RX-LED","LED_0603_1608Metric",114.100000,-119.700000,0.000000,top
"D2","RX-LED","LED_0603_1608Metric",114.100000,-101.700000,0.000000,top
"FB1","Ferrite_Bead_Small","L_0805_2012Metric",118.700000,-131.600000,90.000000,top
"FB1","Ferrite_Bead_Small","L_0805_2012Metric",118.700000,-113.600000,90.000000,top
"J1","C393939 Conn","USB_C_Receptacle_HRO_TYPE-C-31-M-12",112.600000,-126.000000,270.000000,top
"J1","C393939 Conn","USB_C_Receptacle_HRO_TYPE-C-31-M-12",112.600000,-108.000000,270.000000,top
"Q2","S8050","SOT-23",122.100000,-120.350000,0.000000,top
"Q2","S8050","SOT-23",122.100000,-102.350000,0.000000,top
"Q1","S8050","SOT-23",126.700000,-102.350000,180.000000,top
"Q1","S8050","SOT-23",126.700000,-120.350000,180.000000,top
"R1","1kΩ","R_0402_1005Metric",116.700000,-114.300000,0.000000,top
"R1","1kΩ","R_0402_1005Metric",116.700000,-132.300000,0.000000,top
"R2","1kΩ","R_0402_1005Metric",116.700000,-119.700000,0.000000,top
"R2","1kΩ","R_0402_1005Metric",116.700000,-101.700000,0.000000,top
"R3","5.1kΩ","R_0402_1005Metric",119.800000,-110.425000,180.000000,top
"R3","5.1kΩ","R_0402_1005Metric",119.800000,-128.425000,180.000000,top
"R4","24kΩ","R_0402_1005Metric",124.450000,-110.700000,270.000000,top
"R4","24kΩ","R_0402_1005Metric",124.450000,-128.700000,270.000000,top
"R5","47kΩ","R_0402_1005Metric",125.400000,-128.700000,90.000000,top
"R5","47kΩ","R_0402_1005Metric",125.400000,-110.700000,90.000000,top
"R6","5.1Ω","R_0402_1005Metric",120.865000,-105.500000,0.000000,top
"R6","5.1Ω","R_0402_1005Metric",120.865000,-123.500000,0.000000,top
"R7","4.7kΩ","R_0402_1005Metric",126.350000,-110.700000,90.000000,top
"R7","4.7kΩ","R_0402_1005Metric",126.350000,-128.700000,90.000000,top
"R8","10kΩ","R_0402_1005Metric",124.400000,-103.300000,90.000000,top
"R8","10kΩ","R_0402_1005Metric",124.400000,-121.300000,90.000000,top
"R9","10kΩ","R_0402_1005Metric",124.400000,-119.400000,270.000000,top
"R9","10kΩ","R_0402_1005Metric",124.400000,-101.400000,270.000000,top
"U1","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",125.650000,-125.125000,270.000000,top
"U1","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",125.650000,-107.125000,270.000000,top
"U2","TLV75533PDBV","SOT-23-5",123.000000,-131.600000,0.000000,top
"U2","TLV75533PDBV","SOT-23-5",123.000000,-113.600000,0.000000,top
"U3","SRV05-4","SOT-23-6",119.800000,-108.000000,270.000000,top
"U3","SRV05-4","SOT-23-6",119.800000,-126.000000,270.000000,top
